2024-12-05 02:35:54,281 p=1579080 u=root n=ansible | TASK [echo -n > output.log] *************************************************************************************************************************************************************************
2024-12-05 03:04:21,393 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.10.3)
2024-12-05 03:04:21,881 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.10.4)
2024-12-05 03:04:22,386 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.10.5)
2024-12-05 03:04:22,875 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.10.6)
2024-12-05 03:04:23,373 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.11.0)
2024-12-05 03:04:23,853 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.11.1)
2024-12-05 03:04:24,322 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.11.2)
2024-12-05 03:04:24,830 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.11.3)
2024-12-05 03:04:25,304 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.11.4)
2024-12-05 03:04:25,776 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.11.5)
2024-12-05 03:04:26,256 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.11.6)
2024-12-05 03:04:26,796 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.12.0)
2024-12-05 03:04:27,298 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.12.1)
2024-12-05 03:04:27,845 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.12.2)
2024-12-05 03:04:28,336 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.12.3)
2024-12-05 03:04:28,805 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.12.4)
2024-12-05 03:04:29,291 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.12.5)
2024-12-05 03:04:29,782 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.12.6)
2024-12-05 03:04:30,263 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.13.0)
2024-12-05 03:04:30,739 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.13.1)
2024-12-05 03:04:31,226 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.13.2)
2024-12-05 03:04:31,711 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.13.3)
2024-12-05 03:04:32,190 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.13.4)
2024-12-05 03:04:32,665 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.13.5)
2024-12-05 03:04:33,168 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.13.6)
2024-12-05 03:04:33,670 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.14.0)
2024-12-05 03:04:34,164 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.14.1)
2024-12-05 03:04:34,646 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.14.2)
2024-12-05 03:04:35,152 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.14.3)
2024-12-05 03:04:35,622 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.14.4)
2024-12-05 03:04:36,107 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.14.5)
2024-12-05 03:04:36,584 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.14.6)
2024-12-05 03:04:37,057 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.15.0)
2024-12-05 03:04:37,537 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.15.1)
2024-12-05 03:04:38,012 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.15.2)
2024-12-05 03:04:38,506 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.15.3)
2024-12-05 03:04:38,986 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.15.4)
2024-12-05 03:04:39,464 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.15.5)
2024-12-05 03:04:39,932 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.16.0)
2024-12-05 03:04:40,411 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.16.1)
2024-12-05 03:04:40,880 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.16.2)
2024-12-05 03:04:41,368 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.16.3)
2024-12-05 03:04:41,842 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.16.4)
2024-12-05 03:04:42,440 p=1579080 u=root n=ansible | TASK [atlassian.bitbucket : Copy Dockerfile.jdk11 from template to each version directory] **********************************************************************************************************
2024-12-05 03:04:42,440 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.8.0)
2024-12-05 03:04:42,942 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.8.1)
2024-12-05 03:04:43,466 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.8.2)
2024-12-05 03:04:44,006 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.8.3)
2024-12-05 03:04:44,530 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.8.4)
2024-12-05 03:04:45,046 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.8.5)
2024-12-05 03:04:45,584 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.8.6)
2024-12-05 03:04:46,082 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.8.7)
2024-12-05 03:04:46,603 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.0)
2024-12-05 03:04:47,097 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.1)
2024-12-05 03:04:47,607 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.2)
2024-12-05 03:04:48,138 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.3)
2024-12-05 03:04:48,677 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.4)
2024-12-05 03:04:49,246 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.5)
2024-12-05 03:04:49,758 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.6)
2024-12-05 03:04:50,254 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.7)
2024-12-05 03:04:50,741 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.8)
2024-12-05 03:04:51,244 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.9)
2024-12-05 03:04:51,754 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.10)
2024-12-05 03:04:52,347 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.11)
2024-12-05 03:04:52,868 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.12)
2024-12-05 03:04:53,347 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.13)
2024-12-05 03:04:53,838 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.14)
2024-12-05 03:04:54,328 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.15)
2024-12-05 03:04:54,838 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.16)
2024-12-05 03:04:55,363 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.17)
2024-12-05 03:04:55,896 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.18)
2024-12-05 03:04:56,397 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.19)
2024-12-05 03:04:56,906 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.20)
2024-12-05 03:04:57,444 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.21)
2024-12-05 03:04:57,938 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.22)
2024-12-05 03:04:58,429 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.10.0)
2024-12-05 03:04:58,927 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.10.1)
2024-12-05 03:04:59,435 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.10.2)
2024-12-05 03:04:59,929 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.10.3)
2024-12-05 03:05:00,548 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.10.4)
2024-12-05 03:05:01,062 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.10.5)
2024-12-05 03:05:01,620 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.10.6)
2024-12-05 03:05:02,273 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.11.0)
2024-12-05 03:05:02,871 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.11.1)
2024-12-05 03:05:03,486 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.11.2)
2024-12-05 03:05:04,136 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.11.3)
2024-12-05 03:05:04,643 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.11.4)
2024-12-05 03:05:05,227 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.11.5)
2024-12-05 03:05:05,820 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.11.6)
2024-12-05 03:05:06,447 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.12.0)
2024-12-05 03:05:07,118 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.12.1)
2024-12-05 03:05:07,776 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.12.2)
2024-12-05 03:05:08,329 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.12.3)
2024-12-05 03:05:09,034 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.12.4)
2024-12-05 03:05:09,576 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.12.5)
2024-12-05 03:05:10,152 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.12.6)
2024-12-05 03:05:10,646 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.13.0)
2024-12-05 03:05:11,229 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.13.1)
2024-12-05 03:05:11,736 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.13.2)
2024-12-05 03:05:12,322 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.13.3)
2024-12-05 03:05:12,835 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.13.4)
2024-12-05 03:05:13,356 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.13.5)
2024-12-05 03:05:13,855 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.13.6)
2024-12-05 03:05:14,368 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.14.0)
2024-12-05 03:05:14,877 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.14.1)
2024-12-05 03:05:15,391 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.14.2)
2024-12-05 03:05:15,901 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.14.3)
2024-12-05 03:05:16,390 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.14.4)
2024-12-05 03:05:16,901 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.14.5)
2024-12-05 03:05:17,390 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.14.6)
2024-12-05 03:05:17,882 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.15.0)
2024-12-05 03:05:18,448 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.15.1)
2024-12-05 03:05:18,995 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.15.2)
2024-12-05 03:05:19,508 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.15.3)
2024-12-05 03:05:19,999 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.15.4)
2024-12-05 03:05:20,479 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.15.5)
2024-12-05 03:05:20,979 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.16.0)
2024-12-05 03:05:21,536 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.16.1)
2024-12-05 03:05:22,120 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.16.2)
2024-12-05 03:05:22,684 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.16.3)
2024-12-05 03:05:23,184 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.16.4)
2024-12-05 03:05:23,775 p=1579080 u=root n=ansible | TASK [atlassian.bitbucket : Copy Dockerfile.jdk17 from template to each version directory] **********************************************************************************************************
2024-12-05 03:05:23,776 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.8.0)
2024-12-05 03:05:24,264 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.8.1)
2024-12-05 03:05:24,761 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.8.2)
2024-12-05 03:05:25,244 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.8.3)
2024-12-05 03:05:25,719 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.8.4)
2024-12-05 03:05:26,255 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.8.5)
2024-12-05 03:05:26,765 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.8.6)
2024-12-05 03:05:27,313 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.8.7)
2024-12-05 03:05:27,872 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.0)
2024-12-05 03:05:28,486 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.1)
2024-12-05 03:05:28,980 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.2)
2024-12-05 03:05:29,462 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.3)
2024-12-05 03:05:29,989 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.4)
2024-12-05 03:05:30,462 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.5)
2024-12-05 03:05:30,993 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.6)
2024-12-05 03:05:31,509 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.7)
2024-12-05 03:05:32,029 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.8)
2024-12-05 03:05:32,534 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.9)
2024-12-05 03:05:33,026 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.10)
2024-12-05 03:05:33,552 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.11)
2024-12-05 03:05:34,080 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.12)
2024-12-05 03:05:34,566 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.13)
2024-12-05 03:05:35,069 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.14)
2024-12-05 03:05:35,570 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.15)
2024-12-05 03:05:36,072 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.16)
2024-12-05 03:05:36,568 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.17)
2024-12-05 03:05:37,062 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.18)
2024-12-05 03:05:37,605 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.19)
2024-12-05 03:05:38,170 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.20)
2024-12-05 03:05:38,646 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.21)
2024-12-05 03:05:39,147 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.9.22)
2024-12-05 03:05:39,641 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.10.0)
2024-12-05 03:05:40,132 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.10.1)
2024-12-05 03:05:40,620 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.10.2)
2024-12-05 03:05:41,128 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.10.3)
2024-12-05 03:05:41,620 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.10.4)
2024-12-05 03:05:42,120 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.10.5)
2024-12-05 03:05:42,660 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.10.6)
2024-12-05 03:05:43,187 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.11.0)
2024-12-05 03:05:43,681 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.11.1)
2024-12-05 03:05:44,180 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.11.2)
2024-12-05 03:05:44,657 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.11.3)
2024-12-05 03:05:45,143 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.11.4)
2024-12-05 03:05:45,632 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.11.5)
2024-12-05 03:05:46,129 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.11.6)
2024-12-05 03:05:46,616 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.12.0)
2024-12-05 03:05:47,103 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.12.1)
2024-12-05 03:05:47,566 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.12.2)
2024-12-05 03:05:48,054 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.12.3)
2024-12-05 03:05:48,566 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.12.4)
2024-12-05 03:05:49,115 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.12.5)
2024-12-05 03:05:49,612 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.12.6)
2024-12-05 03:05:50,089 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.13.0)
2024-12-05 03:05:50,552 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.13.1)
2024-12-05 03:05:51,081 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.13.2)
2024-12-05 03:05:51,586 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.13.3)
2024-12-05 03:05:52,077 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.13.4)
2024-12-05 03:05:52,577 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.13.5)
2024-12-05 03:05:53,085 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.13.6)
2024-12-05 03:05:53,606 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.14.0)
2024-12-05 03:05:54,071 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.14.1)
2024-12-05 03:05:54,562 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.14.2)
2024-12-05 03:05:55,035 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.14.3)
2024-12-05 03:05:55,528 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.14.4)
2024-12-05 03:05:56,001 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.14.5)
2024-12-05 03:05:56,502 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.14.6)
2024-12-05 03:05:56,981 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.15.0)
2024-12-05 03:05:57,502 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.15.1)
2024-12-05 03:05:57,965 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.15.2)
2024-12-05 03:05:58,451 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.15.3)
2024-12-05 03:05:58,913 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.15.4)
2024-12-05 03:05:59,376 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.15.5)
2024-12-05 03:05:59,863 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.16.0)
2024-12-05 03:06:00,458 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.16.1)
2024-12-05 03:06:01,019 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.16.2)
2024-12-05 03:06:01,571 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.16.3)
2024-12-05 03:06:02,159 p=1579080 u=root n=ansible | changed: [localhost] => (item=8.16.4)
2024-12-05 03:06:02,797 p=1579080 u=root n=ansible | TASK [atlassian.bitbucket : Copy entrypoint.sh from 'files' directory to each version directory] ****************************************************************************************************
